Data,Ativo,Nome,Período,Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-04-01,FLRP11B,FII FLORIPA,"Março/2017
			        
			        	5,1728
0,51%
2,94%
4,97%
8,58%
0,98%
0,83%
0,72%
12,17%
12,74%
23,15%
R$ 59.827.811,49
R$ 1.246,41
0,81
0,42%
0,05%
0,46%
2,17%
1,75%

1","5,1728","0,51%","2,94%","4,97%","8,58%","0,98%","0,83%","0,72%","12,17%","12,74%","23,15%","R$ 59.827.811,49","R$ 1.246,41","0,81","0,42%","0,05%","0,46%","2,17%","1,75%",,1
2017-04-01,FAMB11B,FII ALMIRANT,"Março/2017
			        
			        	33,1882
0,68%
1,94%
4,18%
8,84%
0,65%
0,70%
0,74%
1,43%
2,12%
-4,85%
R$ 575.916.889,09
R$ 5.495,39
0,88
0,60%
0,09%
0,70%
1,95%
0,00%

1","33,1882","0,68%","1,94%","4,18%","8,84%","0,65%","0,70%","0,74%","1,43%","2,12%","-4,85%","R$ 575.916.889,09","R$ 5.495,39","0,88","0,60%","0,09%","0,70%","1,95%","0,00%",,1
2017-04-01,REIT11B,FII REIT RIV,"Março/2017
			        
			        	20,0708
1,67%
1,67%
0,00%
0,00%
0,56%
0,00%
0,00%
0,00%
1,67%
1,67%
R$ 32.035.616,36
R$ 1.218,50
0,98
1,65%
-0,49%
1,15%
1,79%


0","20,0708","1,67%","1,67%","0,00%","0,00%","0,56%","0,00%","0,00%","0,00%","1,67%","1,67%","R$ 32.035.616,36","R$ 1.218,50","0,98","1,65%","-0,49%","1,15%","1,79%",,,0
2017-04-01,FPAB11,FII A BRANCA,"Março/2017
			        
			        	1,7500
0,56%
1,69%
3,47%
7,91%
0,56%
0,58%
0,66%
-0,06%
0,50%
4,80%
R$ 272.763.357,57
R$ 363,68
0,86
0,48%
0,03%
0,51%
1,52%
24,13%

1","1,7500","0,56%","1,69%","3,47%","7,91%","0,56%","0,58%","0,66%","-0,06%","0,50%","4,80%","R$ 272.763.357,57","R$ 363,68","0,86","0,48%","0,03%","0,51%","1,52%","24,13%",,1
2017-04-01,PQDP11,FII D PEDRO,"Fevereiro/2017
			        
			        	15,0043
0,67%
1,86%
3,73%
7,91%
0,62%
0,62%
0,66%
8,37%
9,10%
9,62%
R$ 604.719.531,15
R$ 2.535,76
0,88
0,59%
-0,06%
0,53%
0,92%
1,60%

1","15,0043","0,67%","1,86%","3,73%","7,91%","0,62%","0,62%","0,66%","8,37%","9,10%","9,62%","R$ 604.719.531,15","R$ 2.535,76","0,88","0,59%","-0,06%","0,53%","0,92%","1,60%",,1
2017-04-01,CXRI11,FII CX RBRAV,"Março/2017
			        
			        	7,6000
0,72%
2,21%
4,65%
10,66%
0,74%
0,77%
0,89%
0,58%
1,31%
6,63%
R$ 176.464.177,97
R$ 1.119,87
0,94
0,68%
-0,76%
-0,09%
4,51%


0","7,6000","0,72%","2,21%","4,65%","10,66%","0,74%","0,77%","0,89%","0,58%","1,31%","6,63%","R$ 176.464.177,97","R$ 1.119,87","0,94","0,68%","-0,76%","-0,09%","4,51%",,,0
2017-04-01,FVBI11B,FII VBI 4440,"Fevereiro/2017
			        
			        	0,3993
0,43%
1,49%
3,54%
7,99%
0,50%
0,59%
0,67%
6,25%
6,70%
7,21%
R$ 206.890.846,59
R$ 96,23
0,97
0,41%
0,00%
0,41%
0,85%
14,00%

1","0,3993","0,43%","1,49%","3,54%","7,99%","0,50%","0,59%","0,67%","6,25%","6,70%","7,21%","R$ 206.890.846,59","R$ 96,23","0,97","0,41%","0,00%","0,41%","0,85%","14,00%",,1
2017-04-01,XTED11,FII TRXE COR,"Março/2017
			        
			        	0,0000
0,00%
0,00%
0,00%
2,55%
0,00%
0,00%
0,21%
-2,37%
-2,37%
-3,18%
R$ 71.135.013,06
R$ 48,49
0,41
0,00%
0,15%
0,15%
-0,02%
88,44%
89,70%
2","0,0000","0,00%","0,00%","0,00%","2,55%","0,00%","0,00%","0,21%","-2,37%","-2,37%","-3,18%","R$ 71.135.013,06","R$ 48,49","0,41","0,00%","0,15%","0,15%","-0,02%","88,44%","89,70%",2
2017-04-01,BBPO11,FII BB PRGII,"Março/2017
			        
			        	0,9550
0,71%
2,16%
4,79%
9,58%
0,72%
0,80%
0,80%
1,45%
2,17%
7,49%
R$ 1.485.137.345,61
R$ 93,29
1,45
1,02%
0,03%
1,05%
3,12%


0","0,9550","0,71%","2,16%","4,79%","9,58%","0,72%","0,80%","0,80%","1,45%","2,17%","7,49%","R$ 1.485.137.345,61","R$ 93,29","1,45","1,02%","0,03%","1,05%","3,12%",,,0
2017-04-01,HGBS11,FII CSHGSHOP,"Março/2017
			        
			        	12,4000
0,55%
1,85%
3,92%
8,66%
0,62%
0,65%
0,72%
1,09%
1,65%
11,70%
R$ 1.167.094.363,14
R$ 2.171,37
1,03
0,57%
1,74%
2,32%
3,65%
5,66%

8","12,4000","0,55%","1,85%","3,92%","8,66%","0,62%","0,65%","0,72%","1,09%","1,65%","11,70%","R$ 1.167.094.363,14","R$ 2.171,37","1,03","0,57%","1,74%","2,32%","3,65%","5,66%",,8
2017-04-01,KNIP11,FII KINEA IP,"Março/2017
			        
			        	0,8900
0,85%
2,30%
4,42%
0,00%
0,77%
0,74%
0,00%
0,00%
0,85%
2,31%
R$ 407.476.388,28
R$ 101,87
1,03
0,87%
0,13%
1,01%
3,43%


0","0,8900","0,85%","2,30%","4,42%","0,00%","0,77%","0,74%","0,00%","0,00%","0,85%","2,31%","R$ 407.476.388,28","R$ 101,87","1,03","0,87%","0,13%","1,01%","3,43%",,,0
2017-04-01,RNDP11,FII BB R PAP,"Março/2017
			        
			        	10,5042
0,99%
2,90%
6,00%
12,96%
0,97%
1,00%
1,08%
-1,36%
-0,38%
5,00%
R$ 111.997.120,30
R$ 1.042,02
1,02
1,01%
0,31%
1,32%
3,05%


0","10,5042","0,99%","2,90%","6,00%","12,96%","0,97%","1,00%","1,08%","-1,36%","-0,38%","5,00%","R$ 111.997.120,30","R$ 1.042,02","1,02","1,01%","0,31%","1,32%","3,05%",,,0
2017-04-01,GRLV11,FII LOUVEIRA,"Março/2017
			        
			        	7,1000
0,71%
2,23%
4,38%
9,23%
0,74%
0,73%
0,77%
5,51%
6,26%
12,91%
R$ 118.747.579,43
R$ 1.106,14
0,91
0,64%
0,05%
0,69%
2,07%
7,00%

1","7,1000","0,71%","2,23%","4,38%","9,23%","0,74%","0,73%","0,77%","5,51%","6,26%","12,91%","R$ 118.747.579,43","R$ 1.106,14","0,91","0,64%","0,05%","0,69%","2,07%","7,00%",,1
2017-04-01,HGRE11,FII HG REAL,"Março/2017
			        
			        	9,4000
0,68%
2,20%
4,57%
9,55%
0,73%
0,76%
0,80%
-1,00%
-0,33%
9,04%
R$ 1.097.060.963,13
R$ 1.485,91
0,92
0,63%
-0,07%
0,56%
2,34%
30,30%
24,60%
22","9,4000","0,68%","2,20%","4,57%","9,55%","0,73%","0,76%","0,80%","-1,00%","-0,33%","9,04%","R$ 1.097.060.963,13","R$ 1.485,91","0,92","0,63%","-0,07%","0,56%","2,34%","30,30%","24,60%",22
2017-04-01,ABCP11,FII ABC IMOB,"Março/2017
			        
			        	0,0750
0,50%
2,06%
3,93%
7,87%
0,69%
0,65%
0,66%
8,19%
8,73%
22,91%
R$ 680.608.974,94
R$ 11,15
1,33
0,67%
0,06%
0,73%
1,89%
1,40%

1","0,0750","0,50%","2,06%","3,93%","7,87%","0,69%","0,65%","0,66%","8,19%","8,73%","22,91%","R$ 680.608.974,94","R$ 11,15","1,33","0,67%","0,06%","0,73%","1,89%","1,40%",,1
2017-04-01,AGCX11,FII AG CAIXA,"Março/2017
			        
			        	8,8000
0,68%
2,06%
4,13%
8,88%
0,69%
0,69%
0,74%
-0,36%
0,32%
3,06%
R$ 438.482.654,74
R$ 1.082,67
1,19
0,81%
0,07%
0,88%
2,52%


41","8,8000","0,68%","2,06%","4,13%","8,88%","0,69%","0,69%","0,74%","-0,36%","0,32%","3,06%","R$ 438.482.654,74","R$ 1.082,67","1,19","0,81%","0,07%","0,88%","2,52%",,,41
2017-04-01,BCFF11B,FII BC FFII,"Março/2017
			        
			        	0,5500
0,74%
2,29%
4,58%
10,00%
0,76%
0,76%
0,83%
3,34%
4,11%
8,65%
R$ 394.980.816,10
R$ 93,69
0,80
0,59%
0,17%
0,76%
6,99%


0","0,5500","0,74%","2,29%","4,58%","10,00%","0,76%","0,76%","0,83%","3,34%","4,11%","8,65%","R$ 394.980.816,10","R$ 93,69","0,80","0,59%","0,17%","0,76%","6,99%",,,0
2017-04-01,ALMI11B,FII TORRE AL,"Março/2017
			        
			        	0,3711
0,02%
6,17%
10,00%
18,16%
2,06%
1,67%
1,51%
-0,13%
-0,11%
4,56%
R$ 198.442.975,65
R$ 1.895,35
0,94
0,02%
0,00%
0,02%
3,36%
0,00%

1","0,3711","0,02%","6,17%","10,00%","18,16%","2,06%","1,67%","1,51%","-0,13%","-0,11%","4,56%","R$ 198.442.975,65","R$ 1.895,35","0,94","0,02%","0,00%","0,02%","3,36%","0,00%",,1
2017-04-01,BBVJ11,FII C JARDIM,"Março/2017
			        
			        	0,2000
0,35%
1,08%
2,55%
6,13%
0,36%
0,42%
0,51%
2,13%
2,49%
5,53%
R$ 206.726.034,08
R$ 76,28
0,75
0,26%
0,00%
0,27%
0,81%
43,80%

0","0,2000","0,35%","1,08%","2,55%","6,13%","0,36%","0,42%","0,51%","2,13%","2,49%","5,53%","R$ 206.726.034,08","R$ 76,28","0,75","0,26%","0,00%","0,27%","0,81%","43,80%",,0
2017-04-01,BCIA11,FII BCIA,"Março/2017
			        
			        	0,7800
0,65%
2,14%
4,66%
10,68%
0,71%
0,78%
0,89%
0,00%
0,65%
2,16%
R$ 96.978.630,08
R$ 118,25
1,01
0,66%
-0,46%
0,19%
6,56%


0","0,7800","0,65%","2,14%","4,66%","10,68%","0,71%","0,78%","0,89%","0,00%","0,65%","2,16%","R$ 96.978.630,08","R$ 118,25","1,01","0,66%","-0,46%","0,19%","6,56%",,,0
2017-04-01,DOMC11,FII DOMO,"Março/2017
			        
			        	0,0000
0,00%
0,00%
0,00%
0,94%
0,00%
0,00%
0,08%
-3,01%
-3,01%
-2,27%
R$ 165.339.377,19
R$ 944,80
0,52
0,00%
0,72%
0,72%
1,38%


0","0,0000","0,00%","0,00%","0,00%","0,94%","0,00%","0,00%","0,08%","-3,01%","-3,01%","-2,27%","R$ 165.339.377,19","R$ 944,80","0,52","0,00%","0,72%","0,72%","1,38%",,,0
2017-04-01,HGLG11,FII CSHG LOG,"Março/2017
			        
			        	8,7000
0,72%
2,17%
4,49%
9,29%
0,72%
0,75%
0,77%
-5,89%
-5,21%
9,12%
R$ 374.092.209,57
R$ 1.099,95
1,10
0,79%
-0,51%
0,28%
1,88%
22,37%
18,50%
8","8,7000","0,72%","2,17%","4,49%","9,29%","0,72%","0,75%","0,77%","-5,89%","-5,21%","9,12%","R$ 374.092.209,57","R$ 1.099,95","1,10","0,79%","-0,51%","0,28%","1,88%","22,37%","18,50%",8
2017-04-01,FIXX11,FII FATORFIX,"Março/2017
			        
			        	0,6700
0,77%
2,16%
4,93%
10,86%
0,72%
0,82%
0,91%
-1,98%
-1,23%
-0,86%
R$ 31.758.767,03
R$ 86,78
1,00
0,77%
-0,28%
0,49%
5,16%


0","0,6700","0,77%","2,16%","4,93%","10,86%","0,72%","0,82%","0,91%","-1,98%","-1,23%","-0,86%","R$ 31.758.767,03","R$ 86,78","1,00","0,77%","-0,28%","0,49%","5,16%",,,0
2017-04-01,MAXR11B,FII MAX RET,"Fevereiro/2017
			        
			        	5,7660
0,33%
3,64%
5,07%
9,82%
1,21%
0,85%
0,82%
6,80%
7,14%
7,51%
R$ 97.742.098,29
R$ 1.649,79
1,07
0,35%
0,39%
0,74%
1,08%
0,00%

8","5,7660","0,33%","3,64%","5,07%","9,82%","1,21%","0,85%","0,82%","6,80%","7,14%","7,51%","R$ 97.742.098,29","R$ 1.649,79","1,07","0,35%","0,39%","0,74%","1,08%","0,00%",,8
2017-04-01,EURO11,FII EUROPAR,"Março/2017
			        
			        	1,2300
0,63%
1,79%
3,46%
6,86%
0,60%
0,58%
0,57%
2,13%
2,77%
3,31%
R$ 122.619.894,34
R$ 319,38
0,61
0,39%
-3,67%
-3,30%
-2,62%
17,61%

6","1,2300","0,63%","1,79%","3,46%","6,86%","0,60%","0,58%","0,57%","2,13%","2,77%","3,31%","R$ 122.619.894,34","R$ 319,38","0,61","0,39%","-3,67%","-3,30%","-2,62%","17,61%",,6
2017-04-01,SHPH11,FII HIGIENOP,"Março/2017
			        
			        	3,5000
0,38%
1,50%
2,74%
5,78%
0,50%
0,46%
0,48%
7,97%
8,38%
14,19%
R$ 354.451.989,35
R$ 612,86
1,50
0,57%
0,00%
0,57%
2,17%
2,60%

1","3,5000","0,38%","1,50%","2,74%","5,78%","0,50%","0,46%","0,48%","7,97%","8,38%","14,19%","R$ 354.451.989,35","R$ 612,86","1,50","0,57%","0,00%","0,57%","2,17%","2,60%",,1
2017-04-01,KNCR11,FII KINEA RI,"Março/2017
			        
			        	1,0500
0,97%
2,82%
5,66%
11,97%
0,94%
0,94%
1,00%
-1,65%
-0,69%
1,68%
R$ 2.218.744.266,20
R$ 103,96
1,04
1,01%
-0,12%
0,89%
3,28%


0","1,0500","0,97%","2,82%","5,66%","11,97%","0,94%","0,94%","1,00%","-1,65%","-0,69%","1,68%","R$ 2.218.744.266,20","R$ 103,96","1,04","1,01%","-0,12%","0,89%","3,28%",,,0
2017-04-01,BBRC11,FII BB CORP,"Março/2017
			        
			        	0,8300
0,64%
1,97%
4,27%
9,04%
0,66%
0,71%
0,75%
4,18%
4,85%
9,96%
R$ 153.182.612,70
R$ 96,34
1,34
0,86%
0,05%
0,91%
2,69%


0","0,8300","0,64%","1,97%","4,27%","9,04%","0,66%","0,71%","0,75%","4,18%","4,85%","9,96%","R$ 153.182.612,70","R$ 96,34","1,34","0,86%","0,05%","0,91%","2,69%",,,0
2017-04-01,BRCR11,FII BC FUND,"Fevereiro/2017
			        
			        	0,6700
0,66%
2,47%
4,80%
30,52%
0,82%
0,80%
2,54%
6,15%
6,84%
7,69%
R$ 2.099.008.199,08
R$ 109,18
0,93
0,61%
-0,15%
0,46%
1,16%
19,70%
14,20%
10","0,6700","0,66%","2,47%","4,80%","30,52%","0,82%","0,80%","2,54%","6,15%","6,84%","7,69%","R$ 2.099.008.199,08","R$ 109,18","0,93","0,61%","-0,15%","0,46%","1,16%","19,70%","14,20%",10
2017-04-01,PLRI11,FII POLO I,"Março/2017
			        
			        	0,9900
0,87%
2,94%
5,25%
12,89%
0,98%
0,87%
1,07%
3,84%
4,74%
10,10%
R$ 110.831.965,97
R$ 116,14
0,95
0,64%
-0,17%
0,46%
1,76%


0","0,9900","0,87%","2,94%","5,25%","12,89%","0,98%","0,87%","1,07%","3,84%","4,74%","10,10%","R$ 110.831.965,97","R$ 116,14","0,95","0,64%","-0,17%","0,46%","1,76%",,,0
2017-04-01,VLOL11,FII OLIMPIA,"Março/2017
			        
			        	0,3950
0,49%
1,48%
3,51%
7,89%
0,49%
0,59%
0,66%
4,53%
5,04%
8,80%
R$ 145.965.562,61
R$ 81,78
0,99
0,48%
0,02%
0,50%
1,46%
14,54%

1","0,3950","0,49%","1,48%","3,51%","7,89%","0,49%","0,59%","0,66%","4,53%","5,04%","8,80%","R$ 145.965.562,61","R$ 81,78","0,99","0,48%","0,02%","0,50%","1,46%","14,54%",,1
2017-04-01,FAED11B,FII ANH EDUC,"Março/2017
			        
			        	1,6375
0,70%
2,28%
4,70%
10,02%
0,76%
0,78%
0,84%
8,48%
9,25%
16,42%
R$ 109.586.764,27
R$ 170,65
1,36
0,96%
0,00%
0,96%
2,93%
0,00%

3","1,6375","0,70%","2,28%","4,70%","10,02%","0,76%","0,78%","0,84%","8,48%","9,25%","16,42%","R$ 109.586.764,27","R$ 170,65","1,36","0,96%","0,00%","0,96%","2,93%","0,00%",,3
2017-04-01,FLMA11,FII S F LIMA,"Março/2017
			        
			        	0,0105
0,46%
1,59%
3,31%
7,44%
0,53%
0,55%
0,62%
-0,35%
0,11%
4,03%
R$ 183.484.480,23
R$ 2,66
0,86
0,40%
0,05%
0,45%
1,32%


0","0,0105","0,46%","1,59%","3,31%","7,44%","0,53%","0,55%","0,62%","-0,35%","0,11%","4,03%","R$ 183.484.480,23","R$ 2,66","0,86","0,40%","0,05%","0,45%","1,32%",,,0
2017-04-01,HGJH11,FII CSHGJHSF,"Março/2017
			        
			        	7,5000
0,60%
1,87%
3,74%
7,62%
0,62%
0,62%
0,63%
4,08%
4,70%
10,61%
R$ 170.869.782,87
R$ 1.035,57
1,21
0,72%
0,04%
0,77%
2,20%
12,50%

2","7,5000","0,60%","1,87%","3,74%","7,62%","0,62%","0,62%","0,63%","4,08%","4,70%","10,61%","R$ 170.869.782,87","R$ 1.035,57","1,21","0,72%","0,04%","0,77%","2,20%","12,50%",,2
2017-04-01,FMOF11,FII MEMORIAL,"Março/2017
			        
			        	0,2400
0,22%
0,65%
1,26%
4,66%
0,22%
0,21%
0,39%
-2,93%
-2,72%
2,69%
R$ 67.647.041,34
R$ 133,16
0,81
0,18%
0,08%
0,26%
0,60%
47,80%

1","0,2400","0,22%","0,65%","1,26%","4,66%","0,22%","0,21%","0,39%","-2,93%","-2,72%","2,69%","R$ 67.647.041,34","R$ 133,16","0,81","0,18%","0,08%","0,26%","0,60%","47,80%",,1
2017-04-01,RBRD11,FII RB II,"Março/2017
			        
			        	0,4878
0,67%
2,05%
8,00%
12,81%
0,68%
1,33%
1,07%
1,29%
1,97%
12,16%
R$ 136.734.890,65
R$ 73,84
0,99
0,66%
0,33%
0,99%
2,65%
0,00%

0","0,4878","0,67%","2,05%","8,00%","12,81%","0,68%","1,33%","1,07%","1,29%","1,97%","12,16%","R$ 136.734.890,65","R$ 73,84","0,99","0,66%","0,33%","0,99%","2,65%","0,00%",,0
2017-04-01,RDES11,FII RD ESCRI,"Março/2017
			        
			        	0,2642
0,46%
1,08%
2,07%
4,13%
0,36%
0,35%
0,34%
-2,70%
-2,25%
-0,09%
R$ 64.389.270,05
R$ 86,78
0,66
0,30%
0,02%
0,32%
0,84%
50,53%

0","0,2642","0,46%","1,08%","2,07%","4,13%","0,36%","0,35%","0,34%","-2,70%","-2,25%","-0,09%","R$ 64.389.270,05","R$ 86,78","0,66","0,30%","0,02%","0,32%","0,84%","50,53%",,0
2017-04-01,SAAG11,FII SANT AGE,"Março/2017
			        
			        	0,8600
0,67%
2,07%
4,21%
8,97%
0,69%
0,70%
0,75%
3,25%
3,94%
7,64%
R$ 518.818.139,34
R$ 92,13
1,39
0,93%
0,02%
0,95%
2,87%


28","0,8600","0,67%","2,07%","4,21%","8,97%","0,69%","0,70%","0,75%","3,25%","3,94%","7,64%","R$ 518.818.139,34","R$ 92,13","1,39","0,93%","0,02%","0,95%","2,87%",,,28
2017-04-01,NSLU11B,FII LOURDES,"Fevereiro/2017
			        
			        	1,4947
0,72%
2,26%
4,65%
9,76%
0,75%
0,78%
0,81%
3,45%
4,20%
4,98%
R$ 219.643.568,94
R$ 191,86
1,08
0,78%
0,01%
0,79%
1,58%
0,00%

1","1,4947","0,72%","2,26%","4,65%","9,76%","0,75%","0,78%","0,81%","3,45%","4,20%","4,98%","R$ 219.643.568,94","R$ 191,86","1,08","0,78%","0,01%","0,79%","1,58%","0,00%",,1
2017-04-01,AEFI11,FII AESAPAR,"Março/2017
			        
			        	1,1500
0,77%
2,35%
5,22%
10,67%
0,78%
0,87%
0,89%
4,97%
5,78%
9,06%
R$ 99.362.385,18
R$ 132,04
1,14
0,87%
0,20%
1,08%
2,94%
0,00%

2","1,1500","0,77%","2,35%","5,22%","10,67%","0,78%","0,87%","0,89%","4,97%","5,78%","9,06%","R$ 99.362.385,18","R$ 132,04","1,14","0,87%","0,20%","1,08%","2,94%","0,00%",,2
2017-04-01,BCRI11,FII BEES CRI,"Março/2017
			        
			        	1,1000
0,97%
2,94%
6,00%
13,76%
0,98%
1,00%
1,15%
0,00%
0,97%
2,97%
R$ 88.919.044,14
R$ 97,03
1,16
1,13%
0,23%
1,37%
4,21%


0","1,1000","0,97%","2,94%","6,00%","13,76%","0,98%","1,00%","1,15%","0,00%","0,97%","2,97%","R$ 88.919.044,14","R$ 97,03","1,16","1,13%","0,23%","1,37%","4,21%",,,0
